Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,2090041000.0,353485000.0,1736556100.0,350365000.0,809126000.0,563956000.0,11561000.0,,575517000.0,154756000.0,420761100.0,420761000.0,6.57,0.8309,0.2698,0.2754,0.2013,0.3338,625104000.0,563956000.0,6.4958,6.5567,6.5567,420761100.0,420761100.0,0.2991,0.3542,FFIV
2017-06-30 00:00:00,2077392100.0,347893000.0,1729499100.0,348632000.0,802617000.0,577754200.0,6802000.0,,584556000.0,190603000.0,393953000.0,393953000.0,6.08,0.8325,0.2781,0.2814,0.1896,0.3259,637849200.0,577754100.0,6.0051,6.0633,6.0633,393953000.0,393953000.0,0.307,0.352,FFIV
2017-03-31 00:00:00,2056077100.0,342466000.0,1713611100.0,343072000.0,793099000.0,577472200.0,5191000.0,,582663000.0,194583000.0,388080000.0,388080000.0,5.92,0.8334,0.2809,0.2834,0.1887,0.3289,636679200.0,577472100.0,5.8529,5.9088,5.9088,388080000.0,388080000.0,0.3097,0.3595,FFIV
2016-12-31 00:00:00,2021506100.0,336784000.0,1684722100.0,340132000.0,781657000.0,553882200.0,4022000.0,,557904000.0,187547000.0,370357000.0,370357000.0,5.6,0.8334,0.274,0.276,0.1832,0.3102,611782200.0,553882100.0,5.5329,5.5807,5.5807,370357000.0,370357000.0,0.3026,0.3448,FFIV
2016-09-30 00:00:00,1995034100.0,337205000.0,1657829100.0,334227000.0,767174000.0,547377200.0,2514000.0,,549891000.0,184036000.0,365855000.0,365855000.0,5.44,0.831,0.2744,0.2756,0.1834,0.3224,604153200.0,547377100.0,5.3815,5.4254,5.4254,365855000.0,365855000.0,0.3028,0.3567,FFIV
2016-06-30 00:00:00,1970986100.0,336914000.0,1634072000.0,328146000.0,765162000.0,532343100.0,4111000.0,,536454000.0,182497000.0,353957000.0,353957000.0,5.15,0.8291,0.2701,0.2722,0.1796,0.3158,587985100.0,532343000.0,5.1129,5.1488,5.1488,353957000.0,353957000.0,0.2983,0.3505,FFIV
2016-03-31 00:00:00,1958050100.0,338230000.0,1619820000.0,319441000.0,757820000.0,533611100.0,3853000.0,,537464000.0,182124000.0,355340000.0,355340000.0,5.08,0.8273,0.2725,0.2745,0.1815,0.3164,587787100.0,533611000.0,5.0425,5.0787,5.0787,355340000.0,355340000.0,0.3002,0.3538,FFIV
2015-12-31 00:00:00,1946516100.0,338596000.0,1607920000.0,307668000.0,748719000.0,551533100.0,6986000.0,,558519000.0,192865000.0,365654000.0,365654000.0,5.15,0.8261,0.2833,0.2869,0.1879,0.3235,604837100.0,551533000.0,5.1092,5.149,5.149,365654000.0,365654000.0,0.3107,0.3607,FFIV
2015-09-30 00:00:00,1919823100.0,332261000.0,1587562000.0,296583000.0,738080000.0,552899100.0,8445000.0,,561344000.0,196330000.0,365014000.0,365014000.0,5.07,0.8269,0.288,0.2924,0.1901,0.3216,605482100.0,552899000.0,5.0314,5.0735,5.0735,365014000.0,365014000.0,0.3154,0.3566,FFIV
2015-06-30 00:00:00,1883788000.0,329555000.0,1554233100.0,284319000.0,717133000.0,552781000.0,8903000.0,,561684000.0,199686000.0,361998000.0,361998000.0,4.97,0.8251,0.2934,0.2982,0.1922,0.327,604072000.0,552781000.0,4.9272,4.968,4.968,361998000.0,361998000.0,0.3207,0.3562,FFIV
2015-03-31 00:00:00,1840487000.0,323358000.0,1517129100.0,277008000.0,701391000.0,538730000.0,9376000.0,,548106000.0,199807000.0,348299000.0,348299000.0,4.73,0.8243,0.2927,0.2978,0.1892,0.3246,588427000.0,538730000.0,4.6869,4.7274,4.7274,348299000.0,348299000.0,0.3197,0.346,FFIV
2014-12-31 00:00:00,1788387000.0,316424000.0,1471963100.0,269719000.0,685505000.0,516739000.0,6133000.0,,522872000.0,190661000.0,332211000.0,332211000.0,4.46,0.8231,0.2889,0.2924,0.1858,0.3059,564465000.0,516739000.0,4.4213,4.463,4.463,332211000.0,332211000.0,0.3156,0.3223,FFIV
2014-09-30 00:00:00,1732046000.0,309959000.0,1422087100.0,263792000.0,664738000.0,493557000.0,3785000.0,,497342000.0,186159000.0,311183000.0,311183000.0,4.13,0.821,0.285,0.2871,0.1797,0.3038,539678000.0,493557000.0,4.0896,4.1273,4.1273,311183000.0,311183000.0,0.3116,0.317,FFIV
2014-06-30 00:00:00,1662109000.0,294950000.0,1367159000.0,252855000.0,640653900.0,471257000.0,2194000.0,,473451000.0,180058000.0,293393000.0,293393000.0,3.83,0.8225,0.2835,0.2848,0.1765,0.3046,515612000.0,471257000.0,3.804,3.8359,3.8359,293393000.0,293393000.0,0.3102,0.3171,FFIV
2014-03-31 00:00:00,1592126000.0,280405000.0,1311721000.0,239904000.0,620168900.0,449255000.0,3875000.0,,453130000.0,171032000.0,282098000.0,282098000.0,3.64,0.8239,0.2822,0.2846,0.1772,0.3098,492025000.0,449255000.0,3.614,3.6419,3.6419,282098000.0,282098000.0,0.309,0.3235,FFIV
2013-12-31 00:00:00,1522315000.0,265045000.0,1257270000.0,225206000.0,598803900.0,430867000.0,5970000.0,,436837000.0,160968000.0,275869000.0,275869000.0,3.53,0.8259,0.283,0.287,0.1812,0.3219,472375000.0,430867000.0,3.5021,3.5264,3.5264,275869000.0,275869000.0,0.3103,0.3375,FFIV
2013-09-30 00:00:00,1481314000.0,253047000.0,1228267000.0,209614000.0,585441900.0,430818000.0,7274000.0,,438092000.0,160778000.0,277314000.0,277314000.0,3.53,0.8292,0.2908,0.2957,0.1872,0.3194,470823000.0,430818000.0,3.5043,3.5297,3.5297,277314000.0,277314000.0,0.3178,0.3373,FFIV
2013-06-30 00:00:00,1448543900.0,248785000.0,1199758900.0,202881000.0,579407000.0,417471000.0,7451000.0,,424922000.0,156122000.0,268800000.0,268800000.0,3.42,0.8283,0.2882,0.2933,0.1856,0.3227,457328000.0,417471000.0,3.3904,3.4145,3.4145,268800000.0,268800000.0,0.3157,0.3453,FFIV
2013-03-31 00:00:00,1430875900.0,244155000.0,1186720900.0,195791000.0,567536000.0,423394000.0,6290000.0,,429684000.0,156726000.0,272958000.0,272958000.0,3.46,0.8294,0.2959,0.3003,0.1908,0.3184,463511000.0,423394000.0,3.434,3.4603,3.4603,272958000.0,272958000.0,0.3239,0.3406,FFIV
2012-12-31 00:00:00,1420265900.0,241447000.0,1178818900.0,186825000.0,556396000.0,435598000.0,5600000.0,,441198000.0,163011000.0,278187000.0,278187000.0,3.52,0.83,0.3067,0.3106,0.1959,0.4243,474849000.0,435598000.0,3.4929,3.5207,3.5207,278187000.0,278187000.0,0.3343,0.4508,FFIV
