Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-06-30 00:00:00,6435000000.0,2256000000.0,4179000000.0,1707000000.0,2026000000.0,,-417000000.0,330000000.0,1609000000.0,548000000.0,1061000000.0,1139000000.0,1.61,0.6494,0.3148,0.25,0.177,0.1748,4038000000.0,2026000000.0,1.588,,2.4091,,2.4091,1061000000.0,1061000000.0,0.6275,0.1925,WBD
2015-03-31 00:00:00,6391000000.0,2207000000.0,4184000000.0,1683000000.0,2109000000.0,,-336000000.0,336000000.0,1773000000.0,617000000.0,1156000000.0,1152000000.0,2.27,0.6547,0.33,0.2774,0.1803,0.1587,4048000000.0,2109000000.0,1.7017,,2.5804,,2.5804,1156000000.0,1156000000.0,0.6334,0.1784,WBD
2014-12-31 00:00:00,6265000000.0,2124000000.0,4141000000.0,1692000000.0,2061000000.0,,-314000000.0,328000000.0,1747000000.0,610000000.0,1137000000.0,1139000000.0,2.55,0.661,0.329,0.2789,0.1818,0.1912,3947000000.0,2061000000.0,1.655,,2.5045,,2.5045,1137000000.0,1137000000.0,0.63,0.2104,WBD
2014-09-30 00:00:00,6126000000.0,2001000000.0,4125000000.0,1696000000.0,2107000000.0,,-265000000.0,325000000.0,1842000000.0,650000000.0,1192000000.0,997000000.0,2.99,0.6734,0.3439,0.3007,0.1627,0.1835,3845000000.0,2107000000.0,0.9836,,2.1963,,2.1963,1192000000.0,1192000000.0,0.6277,0.2037,WBD
2014-06-30 00:00:00,5933000000.0,1907000000.0,4026000000.0,1654000000.0,2084000000.0,,-265000000.0,322000000.0,1819000000.0,658000000.0,1161000000.0,1030000000.0,3.3,0.6786,0.3513,0.3066,0.1736,0.197,3751000000.0,2084000000.0,0.9189,,2.0871,,2.0871,1161000000.0,1161000000.0,0.6322,0.2171,WBD
2014-03-31 00:00:00,5790000000.0,1829000000.0,3961000000.0,1642000000.0,1993000000.0,,-285000000.0,319000000.0,1708000000.0,631000000.0,1077000000.0,1028000000.0,3.03,0.6841,0.3442,0.295,0.1775,0.2207,3626000000.0,1993000000.0,1.1904,,2.0825,,2.0825,1077000000.0,1077000000.0,0.6263,0.2409,WBD
2013-12-31 00:00:00,5535000000.0,1689000000.0,3846000000.0,1598000000.0,1975000000.0,,-239000000.0,306000000.0,1736000000.0,659000000.0,1077000000.0,1075000000.0,3.01,0.6949,0.3568,0.3136,0.1942,0.2114,3441000000.0,1975000000.0,1.4917,,2.2253,,2.2253,1077000000.0,1077000000.0,0.6217,0.2322,WBD
2013-09-30 00:00:00,5198000000.0,1542000000.0,3656000000.0,1504000000.0,1938000000.0,,-256000000.0,292000000.0,1682000000.0,671000000.0,1011000000.0,1007000000.0,2.8,0.7033,0.3728,0.3236,0.1937,0.2228,3269000000.0,1938000000.0,1.1619,,2.0018,,1.3421,1011000000.0,1011000000.0,0.6289,0.242,WBD
2013-06-30 00:00:00,4899000000.0,1403000000.0,3496000000.0,1428000000.0,1888000000.0,,-276000000.0,280000000.0,1612000000.0,642000000.0,970000000.0,957000000.0,2.63,0.7136,0.3854,0.329,0.1953,0.219,3070000000.0,1888000000.0,1.3758,,2.0256,,1.3921,970000000.0,961000000.0,0.6267,0.2409,WBD
2013-03-31 00:00:00,4558000000.0,1264000000.0,3294000000.0,1341000000.0,1827000000.0,,-275000000.0,261000000.0,1552000000.0,588000000.0,964000000.0,953000000.0,2.57,0.7227,0.4008,0.3405,0.2091,0.1975,2860000000.0,1827000000.0,1.3194,,1.9589,,1.3264,964000000.0,954000000.0,0.6275,0.2154,WBD
2012-12-31 00:00:00,4487000000.0,1218000000.0,3269000000.0,1287000000.0,1859000000.0,,-341000000.0,248000000.0,1518000000.0,562000000.0,956000000.0,943000000.0,2.5,0.7285,0.4143,0.3383,0.2102,0.2278,2861000000.0,1859000000.0,1.26,-0.01,1.8976,-0.01,1.27,956000000.0,945000000.0,0.6376,0.2449,WBD
