Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-12-31 00:00:00,6380000000.0,6380000000.0,3535000000.0,2621000000.0,-342000000.0,2279000000.0,832000000.0,1447000000.0,1364000000.0,1.04,1.0,0.4108,0.3572,0.2138,0.1536,3007000000.0,2621000000.0,1.0904,1.1003,1.1003,1447000000.0,1447000000.0,0.4713,0.1953,SCHW
2015-09-30 00:00:00,6240000000.0,6240000000.0,3493000000.0,2527000000.0,-339000000.0,2188000000.0,807000000.0,1381000000.0,1315000000.0,1.0,1.0,0.405,0.3506,0.2107,0.1474,2900000000.0,2527000000.0,1.0428,1.059,1.059,1381000000.0,1381000000.0,0.4647,0.1946,SCHW
2015-06-30 00:00:00,6194000000.0,6194000000.0,3529000000.0,2453000000.0,-330000000.0,2123000000.0,797000000.0,1326000000.0,1262000000.0,0.96,1.0,0.396,0.3428,0.2037,0.1211,2809000000.0,2453000000.0,1.0036,1.0172,1.0172,1326000000.0,1326000000.0,0.4535,0.1792,SCHW
2015-03-31 00:00:00,6106000000.0,6106000000.0,3505000000.0,2396000000.0,-319000000.0,2077000000.0,780000000.0,1297000000.0,1234000000.0,0.94,1.0,0.3924,0.3402,0.2021,0.0937,2737000000.0,2396000000.0,0.9842,0.9954,0.9954,1297000000.0,1297000000.0,0.4482,0.1595,SCHW
2014-12-31 00:00:00,6058000000.0,6058000000.0,3433000000.0,2426000000.0,-311000000.0,2115000000.0,794000000.0,1321000000.0,1261000000.0,0.96,1.0,0.4005,0.3491,0.2082,0.3216,2750000000.0,2426000000.0,1.0046,1.0139,1.0139,1321000000.0,1321000000.0,0.4539,0.3876,SCHW
2014-09-30 00:00:00,5942000000.0,5942000000.0,3387000000.0,2361000000.0,-302000000.0,2059000000.0,769000000.0,1290000000.0,1229000000.0,0.94,1.0,0.3973,0.3465,0.2068,0.3258,2679000000.0,2361000000.0,0.9845,0.9897,0.9897,1290000000.0,1290000000.0,0.4509,0.3903,SCHW
2014-06-30 00:00:00,5764000000.0,5764000000.0,3255000000.0,2313000000.0,-308000000.0,2005000000.0,746000000.0,1259000000.0,1199000000.0,0.92,1.0,0.4013,0.3478,0.208,0.2932,2637000000.0,2313000000.0,0.9644,0.9696,0.9696,1259000000.0,1259000000.0,0.4575,0.3458,SCHW
2014-03-31 00:00:00,5623000000.0,5623000000.0,3221000000.0,2203000000.0,-307000000.0,1896000000.0,705000000.0,1191000000.0,1130000000.0,0.87,1.0,0.3918,0.3372,0.201,0.3272,2547000000.0,2203000000.0,0.9164,0.9216,0.9216,1191000000.0,1191000000.0,0.453,0.3722,SCHW
2013-12-31 00:00:00,5435000000.0,5435000000.0,3228000000.0,2005000000.0,-300000000.0,1705000000.0,634000000.0,1071000000.0,1010000000.0,0.78,1.0,0.3689,0.3137,0.1858,0.2589,2369000000.0,2005000000.0,0.8284,0.8336,0.8336,1071000000.0,1071000000.0,0.4359,0.3047,SCHW
2013-09-30 00:00:00,5215000000.0,5215000000.0,3165000000.0,1847000000.0,-296000000.0,1551000000.0,588000000.0,963000000.0,902000000.0,0.7,1.0,0.3542,0.2974,0.173,0.2878,2238000000.0,1847000000.0,0.7484,0.7482,0.7482,963000000.0,963000000.0,0.4291,0.3294,SCHW
2013-06-30 00:00:00,5038000000.0,5038000000.0,3110000000.0,1726000000.0,-278000000.0,1448000000.0,528000000.0,920000000.0,858000000.0,0.67,1.0,0.3426,0.2874,0.1703,0.2936,2144000000.0,1726000000.0,0.7183,0.7183,0.7183,920000000.0,920000000.0,0.4256,0.3299,SCHW
2013-03-31 00:00:00,4984000000.0,4984000000.0,3041000000.0,1744000000.0,-276000000.0,1468000000.0,529000000.0,939000000.0,886000000.0,0.69,1.0,0.3499,0.2945,0.1778,0.1294,2157000000.0,1744000000.0,0.7354,0.7354,0.7354,939000000.0,939000000.0,0.4328,0.1605,SCHW
2012-12-31 00:00:00,4883000000.0,4883000000.0,2963000000.0,1724000000.0,-274000000.0,1450000000.0,522000000.0,928000000.0,883000000.0,0.69,1.0,0.3531,0.2969,0.1808,0.229,2142000000.0,1724000000.0,0.7279,0.7279,0.7279,928000000.0,928000000.0,0.4387,0.2593,SCHW
