Date,Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-06-30 00:00:00,12827000000.0,12827000000.0,7356000000.0,2345000000.0,-246000000.0,157000000.0,2099000000.0,598000000.0,1501000000.0,1492000000.0,2.76,1.0,0.1828,0.1636,0.1163,0.1274,2746000000.0,2345000000.0,2.69,,2.8371,,2.72,1501000000.0,,1527000000.0,0.2141,0.1538,MMC
2015-03-31 00:00:00,12902000000.0,12902000000.0,7406000000.0,2363000000.0,-251000000.0,159000000.0,2112000000.0,600000000.0,1512000000.0,1504000000.0,2.76,1.0,0.1831,0.1637,0.1166,0.1255,2755000000.0,2363000000.0,2.7,0.0433,2.833,0.044,2.73,1512000000.0,24000000.0,1536000000.0,0.2135,0.1532,MMC
2014-12-31 00:00:00,12951000000.0,12951000000.0,7515000000.0,2301000000.0,-244000000.0,165000000.0,2057000000.0,586000000.0,1471000000.0,1465000000.0,2.68,1.0,0.1777,0.1588,0.1131,0.1354,2689000000.0,2301000000.0,2.61,0.047,2.7467,0.0478,2.64,1471000000.0,26000000.0,1497000000.0,0.2076,0.1636,MMC
2014-09-30 00:00:00,12820000000.0,12820000000.0,7452000000.0,2254000000.0,-127000000.0,172000000.0,2127000000.0,618000000.0,1509000000.0,1474000000.0,2.69,1.0,0.1758,0.1659,0.115,0.1181,2635000000.0,2254000000.0,2.67,-0.0073,2.7491,-0.0073,2.71,1509000000.0,-5000000.0,1505000000.0,0.2055,0.1488,MMC
2014-06-30 00:00:00,12611000000.0,12611000000.0,7372000000.0,2213000000.0,-135000000.0,167000000.0,2078000000.0,614000000.0,1464000000.0,1430000000.0,2.6,1.0,0.1755,0.1648,0.1134,0.1074,2585000000.0,2213000000.0,2.58,-0.0073,2.6621,-0.0073,2.62,1464000000.0,-9000000.0,1460000000.0,0.205,0.1397,MMC
2014-03-31 00:00:00,12399000000.0,12399000000.0,7262000000.0,2143000000.0,-109000000.0,165000000.0,2034000000.0,610000000.0,1424000000.0,1387000000.0,2.53,1.0,0.1728,0.164,0.1119,0.0925,2511000000.0,2143000000.0,2.5,-0.0126,2.5812,-0.0128,2.54,1424000000.0,5000000.0,1417000000.0,0.2025,0.1253,MMC
2013-12-31 00:00:00,12261000000.0,12261000000.0,7226000000.0,2077000000.0,-104000000.0,167000000.0,1973000000.0,594000000.0,1379000000.0,1357000000.0,2.47,1.0,0.1694,0.1609,0.1107,0.0771,2435000000.0,2077000000.0,2.42,0.0107,2.5228,0.0109,2.46,1379000000.0,,1385000000.0,0.1986,0.1094,MMC
2013-09-30 00:00:00,12148000000.0,12148000000.0,7195000000.0,1994000000.0,-89000000.0,170000000.0,1905000000.0,568000000.0,1337000000.0,1313000000.0,2.4,1.0,0.1641,0.1568,0.1081,0.0652,2355000000.0,1994000000.0,2.34,0.0072,2.4446,0.0073,2.37,1337000000.0,4000000.0,1341000000.0,0.1939,0.0944,MMC
2013-06-30 00:00:00,12061000000.0,12061000000.0,7131000000.0,1968000000.0,-110000000.0,174000000.0,1858000000.0,535000000.0,1323000000.0,1301000000.0,2.38,1.0,0.1632,0.1541,0.1079,0.0611,2327000000.0,1968000000.0,2.32,0.0108,2.4268,0.0109,2.35,1323000000.0,6000000.0,1329000000.0,0.1929,0.0906,MMC
2013-03-31 00:00:00,11999000000.0,11999000000.0,7141000000.0,1909000000.0,-132000000.0,179000000.0,1777000000.0,515000000.0,1262000000.0,1242000000.0,2.27,1.0,0.1591,0.1481,0.1035,0.0734,2262000000.0,1909000000.0,2.22,0.0161,2.3282,0.0163,2.25,1262000000.0,9000000.0,1271000000.0,0.1885,0.1027,MMC
2012-12-31 00:00:00,11924000000.0,11924000000.0,7134000000.0,1829000000.0,-133000000.0,181000000.0,1696000000.0,492000000.0,1204000000.0,1176000000.0,2.16,1.0,0.1534,0.1422,0.0986,0.0845,2178000000.0,1829000000.0,2.13,0.0237,2.2076,0.024,2.16,1204000000.0,-3000000.0,1201000000.0,0.1827,0.1109,MMC
