Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,Income (Other),EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-03-31 00:00:00,3096853000.0,1331145000.0,1765708000.0,851206000.0,561595000.0,-345522000.0,263303000.0,,216073000.0,-111061000.0,327134000.0,325548000.0,1.67,0.5702,0.1813,0.0698,0.1051,0.0353,922451100.0,561595100.0,1.6467,,1.6625,,1.6585,327973000.0,,328376000.0,0.2979,0.1365,IRM
2014-12-31 00:00:00,3117693000.0,1344636000.0,1773057000.0,869572000.0,549277000.0,-325904000.0,260717000.0,,223373000.0,-97275000.0,320648000.0,326119000.0,1.69,0.5687,0.1762,0.0716,0.1046,0.045,910429100.0,549277100.0,1.67,-0.0038,1.6835,-0.0038,1.68,328955000.0,-893000.0,328746000.0,0.292,0.1517,IRM
2014-09-30 00:00:00,3107597100.0,1343693000.0,1763904100.0,895768000.0,516285100.0,-285473000.0,251251000.0,,230812000.0,-124725000.0,355537000.0,360231000.0,1.88,0.5676,0.1661,0.0743,0.1159,0.0363,871612200.0,516285000.0,1.88,,1.8876,,1.89,364422000.0,,362800000.0,0.2805,0.1528,IRM
2014-06-30 00:00:00,3080214100.0,1318852000.0,1761362100.0,904636000.0,514767100.0,-310183000.0,252516000.0,,204584000.0,-155425000.0,360009000.0,364014000.0,1.9,0.5718,0.1671,0.0664,0.1182,0.0546,860234200.0,514767000.0,1.91,-0.0106,1.9081,-0.0106,1.92,368894000.0,-2193000.0,366701000.0,0.2793,0.1588,IRM
2014-03-31 00:00:00,3047718100.0,1302947000.0,1744771100.0,915360000.0,499021100.0,-331084000.0,253304000.0,,167937000.0,53290000.0,114647000.0,118743000.0,0.63,0.5725,0.1637,0.0551,0.039,0.0534,834544100.0,499021000.0,0.64,-0.0089,0.6351,-0.0089,0.64,123532000.0,-1965000.0,121567000.0,0.2738,0.1498,IRM
2013-12-31 00:00:00,3024623100.0,1288878000.0,1735745100.0,924031000.0,489247100.0,-329376000.0,254174000.0,,159871000.0,62127000.0,97744000.0,96462000.0,0.51,0.5739,0.1618,0.0529,0.0319,0.0699,818542100.0,489247000.0,0.52,0.0043,0.5236,0.0043,0.52,99161000.0,831000.0,99992000.0,0.2706,0.1678,IRM
2013-09-30 00:00:00,3013908100.0,1291208000.0,1722700000.0,904885000.0,495344000.0,-320395000.0,254874000.0,,174949000.0,97661000.0,77288000.0,74309000.0,0.4,0.5716,0.1644,0.058,0.0247,0.0519,821124000.0,495344100.0,0.41,-0.0032,0.4114,-0.0032,0.41,77494000.0,441000.0,77935000.0,0.2724,0.1548,IRM
2013-06-30 00:00:00,3006719100.0,1290887000.0,1715832000.0,884178000.0,509352000.0,-279084000.0,251770000.0,,230268000.0,104591000.0,125677000.0,123269000.0,0.69,0.5707,0.1694,0.0766,0.041,0.0387,836585000.0,509352100.0,0.69,0.0,0.6994,0.0,0.69,125883000.0,1044000.0,126927000.0,0.2782,0.1445,IRM
2013-03-31 00:00:00,3004488100.0,1282891000.0,1721597000.0,863162000.0,536495000.0,-269102000.0,246997000.0,,267393000.0,127615000.0,139778000.0,134958000.0,0.77,0.573,0.1786,0.089,0.0449,0.0509,862148000.0,536495100.0,0.79,-0.01,0.7838,-0.01,0.79,139984000.0,-1382000.0,138602000.0,0.287,0.1546,IRM
2012-12-31 00:00:00,3003955100.0,1277113000.0,1726842000.0,850371000.0,555466000.0,-258661000.0,242599000.0,,296805000.0,114304000.0,182501000.0,170922000.0,0.99,0.5749,0.1849,0.0988,0.0569,0.0548,878758000.0,555466100.0,1.04,-0.05,1.0026,-0.05,1.05,182707000.0,-8659000.0,174048000.0,0.2925,0.1441,IRM
