Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,17492000000.0,1549000000.0,15943000000.0,10161000000.0,5782000000.0,5782000000.0,1438000000.0,4344000000.0,4011000000.0,8.3,0.9114,0.0,0.3306,0.2293,0.3384,8.8778,,8.9641,,8.9641,4344000000.0,,4344000000.0,0.0,0.3384,PNC
2017-06-30 00:00:00,17059000000.0,1412000000.0,15647000000.0,10056000000.0,5591000000.0,5591000000.0,1367000000.0,4224000000.0,3885000000.0,7.99,0.9172,0.0,0.3277,0.2277,0.2907,8.5747,,8.6665,,8.6665,4224000000.0,,4224000000.0,0.0,0.2907,PNC
2017-03-31 00:00:00,16693000000.0,1312000000.0,15381000000.0,9966000000.0,5415000000.0,5415000000.0,1299000000.0,4116000000.0,3776000000.0,7.71,0.9214,0.0,0.3244,0.2262,0.2884,8.2929,,8.3899,,8.3899,4116000000.0,,4116000000.0,0.0,0.2884,PNC
2016-12-31 00:00:00,16423000000.0,1261000000.0,15162000000.0,9909000000.0,5253000000.0,5253000000.0,1268000000.0,3985000000.0,3662000000.0,7.42,0.9232,0.0,0.3199,0.223,0.2131,7.97,,8.0668,,8.0668,3985000000.0,,3985000000.0,0.0,0.2131,PNC
2016-09-30 00:00:00,16345000000.0,1204000000.0,15141000000.0,9871000000.0,5270000000.0,5270000000.0,1310000000.0,3960000000.0,3642000000.0,7.31,0.9263,0.0,0.3224,0.2228,0.2562,7.8565,,7.9434,,7.9434,3960000000.0,,3960000000.0,0.0,0.2562,PNC
2016-06-30 00:00:00,16257000000.0,1170000000.0,15087000000.0,9823000000.0,5264000000.0,5264000000.0,1237000000.0,4027000000.0,3709000000.0,7.37,0.928,0.0,0.3238,0.2281,0.2848,7.8918,,7.986,,7.986,4027000000.0,,4027000000.0,0.0,0.2848,PNC
2016-03-31 00:00:00,16266000000.0,1107000000.0,15159000000.0,9748000000.0,5411000000.0,5411000000.0,1329000000.0,4082000000.0,3784000000.0,7.45,0.9319,0.0,0.3327,0.2326,0.3406,7.9142,,8.0154,,8.0154,4082000000.0,,4082000000.0,0.0,0.3406,PNC
2015-12-31 00:00:00,16270000000.0,1045000000.0,15225000000.0,9718000000.0,5507000000.0,5507000000.0,1364000000.0,4143000000.0,3864000000.0,7.54,0.9358,0.0,0.3385,0.2375,0.3396,7.9521,,8.0603,,8.0603,4143000000.0,,4143000000.0,0.0,0.3396,PNC
2015-09-30 00:00:00,16338000000.0,1019000000.0,15319000000.0,9839000000.0,5480000000.0,5480000000.0,1302000000.0,4178000000.0,3896000000.0,7.52,0.9376,0.0,0.3354,0.2385,0.2839,7.9329,,8.0627,,8.0627,4178000000.0,,4178000000.0,0.0,0.2839,PNC
2015-06-30 00:00:00,16349000000.0,964000000.0,15385000000.0,9818000000.0,5567000000.0,5567000000.0,1424000000.0,4143000000.0,3868000000.0,7.41,0.941,0.0,0.3405,0.2366,0.2307,7.8024,,7.9292,,7.9292,4143000000.0,,4143000000.0,0.0,0.2307,PNC
2015-03-31 00:00:00,16267000000.0,938000000.0,15329000000.0,9806000000.0,5523000000.0,5523000000.0,1372000000.0,4151000000.0,3877000000.0,7.37,0.9423,0.0,0.3395,0.2383,0.2413,7.7656,,7.8873,,7.8873,4151000000.0,,4151000000.0,0.0,0.2413,PNC
2014-12-31 00:00:00,16281000000.0,906000000.0,15375000000.0,9761000000.0,5614000000.0,5614000000.0,1407000000.0,4207000000.0,3936000000.0,7.44,0.9444,0.0,0.3448,0.2418,0.343,7.8343,,7.9527,,7.9527,4207000000.0,,4207000000.0,0.0,0.343,PNC
2014-09-30 00:00:00,16380000000.0,879000000.0,15501000000.0,9797000000.0,5704000000.0,5704000000.0,1480000000.0,4224000000.0,3949000000.0,7.43,0.9463,0.0,0.3482,0.2411,0.2588,7.8593,,7.9627,,7.9627,4224000000.0,,4224000000.0,0.0,0.2588,PNC
2014-06-30 00:00:00,16449000000.0,869000000.0,15580000000.0,9916000000.0,5664000000.0,5664000000.0,1450000000.0,4214000000.0,3941000000.0,7.43,0.9472,0.0,0.3443,0.2396,0.4395,7.8514,,7.9438,,7.9438,4214000000.0,,4214000000.0,0.0,0.4395,PNC
2014-03-31 00:00:00,16687000000.0,853000000.0,15834000000.0,10078000000.0,5756000000.0,5756000000.0,1479000000.0,4277000000.0,3998000000.0,7.57,0.9489,0.0,0.3449,0.2396,0.3873,7.9994,,8.0781,,8.0781,4277000000.0,,4277000000.0,0.0,0.3873,PNC
2013-12-31 00:00:00,16872000000.0,860000000.0,16012000000.0,10324000000.0,5688000000.0,5688000000.0,1476000000.0,4212000000.0,3934000000.0,7.49,0.949,0.0,0.3371,0.2332,0.3292,7.9173,,7.9772,,7.9772,4212000000.0,,4212000000.0,0.0,0.3292,PNC
2013-09-30 00:00:00,16902000000.0,894000000.0,16008000000.0,10748000000.0,5260000000.0,5260000000.0,1410000000.0,3850000000.0,3584000000.0,6.88,0.9471,0.0,0.3112,0.212,0.4188,7.2573,,7.3022,,7.3022,3850000000.0,,3850000000.0,0.0,0.4188,PNC
2013-06-30 00:00:00,17127000000.0,951000000.0,16176000000.0,11095000000.0,5081000000.0,5081000000.0,1334000000.0,3747000000.0,3505000000.0,6.72,0.9445,0.0,0.2967,0.2046,0.2797,7.0808,,7.1175,,7.1175,3747000000.0,,3747000000.0,0.0,0.2797,PNC
2013-03-31 00:00:00,16745000000.0,1010000000.0,15735000000.0,11437000000.0,4298000000.0,4298000000.0,1120000000.0,3178000000.0,2972000000.0,5.7,0.9397,0.0,0.2567,0.1775,0.3013,6.0112,,6.0419,,6.0419,3178000000.0,,3178000000.0,0.0,0.3013,PNC
2012-12-31 00:00:00,16606000000.0,1094000000.0,15512000000.0,11473000000.0,4039000000.0,4039000000.0,1045000000.0,2994000000.0,2806000000.0,5.38,0.9341,0.0,0.2432,0.169,0.41,5.6598,,5.6921,,5.6921,2994000000.0,,2994000000.0,0.0,0.41,PNC
