Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,6778000000.0,561000000.0,6217000000.0,4370000000.0,1751000000.0,,1751000000.0,424000000.0,1327000000.0,1253000000.0,1.18,0.9172,0.0,0.2583,0.1849,0.2635,1.14,0.0018,1.2325,0.0017,1.15,1327000000.0,3000000.0,1329000000.0,0.0,0.2815,KEY
2017-06-30 00:00:00,6516000000.0,510000000.0,6006000000.0,4480000000.0,1442000000.0,,1442000000.0,306000000.0,1136000000.0,1069000000.0,1.01,0.9217,0.0,0.2213,0.1641,0.0364,0.98,0.0045,1.0696,0.0044,1.0,1136000000.0,5000000.0,1138000000.0,0.0,0.0577,KEY
2017-03-31 00:00:00,5903000000.0,453000000.0,5450000000.0,4237000000.0,1144000000.0,,1144000000.0,217000000.0,927000000.0,867000000.0,0.88,0.9233,0.0,0.1938,0.1469,0.1308,0.85,,0.9284,,0.87,927000000.0,,927000000.0,0.0,0.1543,KEY
2016-12-31 00:00:00,5390000000.0,400000000.0,4990000000.0,3967000000.0,968000000.0,,968000000.0,179000000.0,789000000.0,754000000.0,0.82,0.9258,0.0,0.1796,0.1399,0.2865,0.8,0.0011,0.8515,0.001,0.81,789000000.0,1000000.0,790000000.0,0.0,0.3134,KEY
2016-09-30 00:00:00,4868000000.0,347000000.0,4521000000.0,3480000000.0,995000000.0,,1004000000.0,214000000.0,790000000.0,765000000.0,0.89,0.9287,0.0,0.2062,0.1571,0.3344,0.87,-0.003,0.9217,-0.003,0.89,790000000.0,1000000.0,791000000.0,0.0,0.3578,KEY
2016-06-30 00:00:00,4560000000.0,307000000.0,4253000000.0,3112000000.0,1108000000.0,,1108000000.0,270000000.0,838000000.0,812000000.0,0.99,0.9327,0.0,0.243,0.1781,0.3748,0.97,-0.0076,1.0065,-0.0076,0.98,838000000.0,-3000000.0,835000000.0,0.0,0.3939,KEY
2016-03-31 00:00:00,4543000000.0,288000000.0,4255000000.0,3059000000.0,1161000000.0,,1161000000.0,285000000.0,876000000.0,849000000.0,1.03,0.9366,0.0,0.2556,0.1869,0.5562,1.01,-0.0077,1.0496,-0.0076,1.02,876000000.0,-3000000.0,873000000.0,0.0,0.5736,KEY
2015-12-31 00:00:00,4502000000.0,274000000.0,4228000000.0,2970000000.0,1222000000.0,,1222000000.0,303000000.0,919000000.0,893000000.0,1.08,0.9391,0.0,0.2714,0.1984,0.2348,1.05,0.0011,1.0993,0.0012,1.06,919000000.0,1000000.0,920000000.0,0.0,0.2512,KEY
2015-09-30 00:00:00,4480000000.0,267000000.0,4213000000.0,2914000000.0,1261000000.0,-27000000.0,1262000000.0,324000000.0,938000000.0,921000000.0,1.1,0.9404,0.0,0.2817,0.2056,0.2279,1.07,0.0154,1.1183,0.0155,1.07,938000000.0,7000000.0,945000000.0,0.0,0.2464,KEY
2015-06-30 00:00:00,4405000000.0,261000000.0,4144000000.0,2869000000.0,1227000000.0,,1237000000.0,316000000.0,921000000.0,888000000.0,1.08,0.9407,0.0,0.2808,0.2016,0.2343,1.04,-0.001,1.0717,-0.0009,1.04,921000000.0,-7000000.0,914000000.0,0.0,0.2533,KEY
