Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Diluted, from Disc. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Discontinued Ops)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-03-31 00:00:00,5868000000.0,3109000000.0,2759000000.0,773000000.0,653000000.0,1161000000.0,,-738000000.0,,423000000.0,40000000.0,383000000.0,10000000.0,322000000.0,1.35,0.4702,0.1979,0.0721,0.0549,0.2009,1559000000.0,1161000000.0,1.5695,,1.6593,,1.6593,393000000.0,393000000.0,0.2657,0.2664,NXPI
2014-12-31 00:00:00,5647000000.0,3007000000.0,2640000000.0,763000000.0,686000000.0,1049000000.0,,-410000000.0,,639000000.0,40000000.0,599000000.0,8000000.0,539000000.0,2.26,0.4675,0.1858,0.1132,0.0954,0.196,1454000000.0,1049000000.0,2.4416,,2.5509,,2.5509,607000000.0,607000000.0,0.2575,0.26,NXPI
2014-09-30 00:00:00,5403000000.0,2878000000.0,2525000000.0,733000000.0,632000000.0,937000000.0,,-352000000.0,,585000000.0,41000000.0,544000000.0,11000000.0,486000000.0,2.01,0.4673,0.1734,0.1083,0.09,0.1669,1358000000.0,937000000.0,2.2132,,2.3,,2.3,555000000.0,555000000.0,0.2513,0.2269,NXPI
2014-06-30 00:00:00,5137000000.0,2755000000.0,2382000000.0,700000000.0,660000000.0,798000000.0,,-181000000.0,,617000000.0,38000000.0,579000000.0,10000000.0,520000000.0,2.12,0.4637,0.1553,0.1201,0.1012,0.1612,1253000000.0,798000000.0,2.3233,,2.4043,,2.4043,589000000.0,589000000.0,0.2439,0.2194,NXPI
2014-03-31 00:00:00,4976000000.0,2697000000.0,2279000000.0,675000000.0,655000000.0,719000000.0,,-167000000.0,,552000000.0,24000000.0,528000000.0,12000000.0,472000000.0,1.9,0.458,0.1445,0.1109,0.0949,0.1582,1203000000.0,719000000.0,2.1171,,2.1793,,2.1793,540000000.0,540000000.0,0.2418,0.21,NXPI
2013-12-31 00:00:00,4815000000.0,2638000000.0,2177000000.0,639000000.0,664000000.0,651000000.0,,-274000000.0,,377000000.0,20000000.0,357000000.0,58000000.0,348000000.0,1.39,0.4521,0.1352,0.0783,0.0723,0.1344,1165000000.0,651000000.0,1.6271,,1.6698,,1.6698,415000000.0,415000000.0,0.242,0.185,NXPI
2013-09-30 00:00:00,4638000000.0,2560000000.0,2078000000.0,642000000.0,960000000.0,486000000.0,,-348000000.0,,138000000.0,3000000.0,135000000.0,67000000.0,136000000.0,0.53,0.448,0.1048,0.0298,0.0293,0.1125,1019000000.0,486000000.0,0.7212,,0.8079,,0.7444,202000000.0,202000000.0,0.2197,0.1598,NXPI
2013-06-30 00:00:00,4559000000.0,2515000000.0,2044000000.0,632000000.0,957000000.0,486000000.0,,-384000000.0,,102000000.0,8000000.0,94000000.0,67000000.0,96000000.0,0.37,0.4483,0.1066,0.0224,0.0211,0.0836,1010000000.0,486000000.0,0.5014,,0.6459,,0.5131,161000000.0,161000000.0,0.2215,0.1393,NXPI
2013-03-31 00:00:00,4465000000.0,2418000000.0,2047000000.0,633000000.0,977000000.0,472000000.0,,-516000000.0,,-44000000.0,17000000.0,-61000000.0,19000000.0,-105000000.0,0.27,0.4585,0.1057,-0.0099,-0.0235,0.1046,1003000000.0,472000000.0,-0.364,,-0.1693,,-0.364,-42000000.0,-42000000.0,0.2246,0.1666,NXPI
2012-12-31 00:00:00,4358000000.0,2370000000.0,1988000000.0,628000000.0,977000000.0,412000000.0,,-437000000.0,,-25000000.0,1000000.0,-26000000.0,-27000000.0,-115000000.0,0.23,0.4562,0.0945,-0.0057,-0.0264,0.1019,945000000.0,412000000.0,-0.46,1.704,-0.2097,1.704,-0.46,-53000000.0,-52000000.0,0.2168,0.1657,NXPI
