Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Interest Expense (Operating),Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2015-12-31 00:00:00,44294000000.0,17482000000.0,26812000000.0,16427000000.0,8728000000.0,,877000000.0,856000000.0,9605000000.0,2239000000.0,7366000000.0,7351000000.0,1.67,0.6053,0.197,0.2168,0.166,0.182,10698000000.0,8728000000.0,1.67,1.6926,1.6901,7366000000.0,,7366000000.0,0.2415,0.2377,KO
2015-09-30 00:00:00,45166000000.0,17785000000.0,27381000000.0,16828000000.0,8661000000.0,,482000000.0,852000000.0,9143000000.0,2242000000.0,6901000000.0,6884000000.0,1.56,0.6062,0.1918,0.2024,0.1524,0.1924,10603000000.0,8661000000.0,1.5646,1.5843,1.5843,6901000000.0,,6901000000.0,0.2348,0.2441,KO
2015-06-30 00:00:00,45715000000.0,17838000000.0,27877000000.0,17128000000.0,8993000000.0,,1085000000.0,827000000.0,10078000000.0,2508000000.0,7570000000.0,7549000000.0,1.71,0.6098,0.1967,0.2205,0.1651,0.1946,10963000000.0,8993000000.0,1.7117,1.7343,1.7343,7570000000.0,,7570000000.0,0.2398,0.2464,KO
2015-03-31 00:00:00,46133000000.0,17909000000.0,28224000000.0,17308000000.0,9628000000.0,,-527000000.0,806000000.0,9101000000.0,2037000000.0,7064000000.0,7036000000.0,1.59,0.6118,0.2087,0.1973,0.1525,0.1913,11604000000.0,9628000000.0,1.5908,1.6132,1.6132,7064000000.0,,7064000000.0,0.2515,0.2411,KO
2014-12-31 00:00:00,45998000000.0,17889000000.0,28109000000.0,17218000000.0,9708000000.0,,-383000000.0,483000000.0,9325000000.0,2201000000.0,7124000000.0,7098000000.0,1.6,0.6111,0.2111,0.2027,0.1543,0.1833,11684000000.0,9708000000.0,1.6009,1.6239,1.6239,7124000000.0,,7124000000.0,0.254,0.2308,KO
2014-09-30 00:00:00,46166000000.0,17847000000.0,28319000000.0,17199000000.0,10362000000.0,,115000000.0,493000000.0,10477000000.0,2416000000.0,8061000000.0,8038000000.0,1.82,0.6134,0.2245,0.2269,0.1741,0.1833,12372000000.0,10362000000.0,1.8082,1.8346,1.8346,8061000000.0,,8061000000.0,0.268,0.2341,KO
2014-06-30 00:00:00,46220000000.0,18010000000.0,28210000000.0,17116000000.0,10123000000.0,,1074000000.0,470000000.0,11197000000.0,2803000000.0,8394000000.0,8371000000.0,1.89,0.6103,0.219,0.2423,0.1811,0.1889,12120000000.0,10123000000.0,1.8766,1.9052,1.9052,8394000000.0,,8394000000.0,0.2622,0.2392,KO
2014-03-31 00:00:00,46395000000.0,18180000000.0,28215000000.0,17117000000.0,10196000000.0,,1142000000.0,485000000.0,11338000000.0,2855000000.0,8483000000.0,8452000000.0,1.9,0.6081,0.2198,0.2444,0.1822,0.1891,12173000000.0,10196000000.0,1.8868,1.9178,1.9178,8483000000.0,,8483000000.0,0.2624,0.2399,KO
2013-12-31 00:00:00,46854000000.0,18421000000.0,28433000000.0,17310000000.0,10228000000.0,,1249000000.0,463000000.0,11477000000.0,2851000000.0,8626000000.0,8584000000.0,1.93,0.6068,0.2183,0.245,0.1832,0.1729,12205000000.0,10228000000.0,1.9131,1.9454,1.9454,8626000000.0,,8626000000.0,0.2605,0.225,KO
2013-09-30 00:00:00,47269000000.0,18734000000.0,28535000000.0,17421000000.0,10306000000.0,,1320000000.0,409000000.0,11626000000.0,2818000000.0,8808000000.0,8740000000.0,1.96,0.6037,0.218,0.246,0.1849,0.1738,12263000000.0,10306000000.0,1.9468,1.9802,1.9802,8808000000.0,,8808000000.0,0.2594,0.2225,KO
2013-06-30 00:00:00,47579000000.0,18794000000.0,28785000000.0,17627000000.0,10627000000.0,,703000000.0,421000000.0,11330000000.0,2648000000.0,8682000000.0,8604000000.0,1.92,0.605,0.2234,0.2381,0.1808,0.1686,12601000000.0,10627000000.0,1.9087,1.9428,1.9428,8682000000.0,,8682000000.0,0.2648,0.2191,KO
2013-03-31 00:00:00,47915000000.0,19029000000.0,28886000000.0,17739000000.0,10678000000.0,,750000000.0,411000000.0,11428000000.0,2640000000.0,8788000000.0,8716000000.0,1.94,0.6029,0.2229,0.2385,0.1819,0.1689,12686000000.0,10678000000.0,1.9234,1.9576,1.9576,8788000000.0,,8788000000.0,0.2648,0.2219,KO
2012-12-31 00:00:00,48017000000.0,19053000000.0,28964000000.0,17738000000.0,10779000000.0,,1030000000.0,397000000.0,11809000000.0,2723000000.0,9086000000.0,9019000000.0,1.995,0.6032,0.2245,0.2459,0.1878,0.1668,12761000000.0,10779000000.0,1.9822,2.0173,2.0173,9086000000.0,,9086000000.0,0.2658,0.2217,KO
