Date,Revenue,Cost of Revenue,Gross Profit,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Income from Discontinued Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2017-09-30 00:00:00,1701107000.0,438049000.0,1263058000.0,133200000.0,446850100.0,-330149000.0,318524000.0,116701000.0,15451000.0,101250000.0,101250000.0,0.84,0.7425,0.2627,0.0686,0.0595,0.3908,1155574100.0,446850000.0,0.8377,0.8439,0.8439,101250000.0,,101250000.0,0.6793,0.4743,SBAC
2017-06-30 00:00:00,1678481000.0,432049000.0,1246432000.0,132896000.0,438049100.0,-387683000.0,320453000.0,50366000.0,13647000.0,36719000.0,36719000.0,0.31,0.7426,0.261,0.03,0.0219,0.3892,1119118100.0,438049000.0,0.3081,0.31,0.31,36719000.0,,36719000.0,0.6667,0.4718,SBAC
2017-03-31 00:00:00,1656719000.0,429272000.0,1227447000.0,147166000.0,397525100.0,-325070000.0,325422000.0,72455000.0,12258000.0,60197000.0,60197000.0,0.49,0.7409,0.2399,0.0437,0.0363,0.3806,1086057100.0,397525000.0,0.4928,0.4954,0.4954,60197000.0,,60197000.0,0.6555,0.4649,SBAC
2016-12-31 00:00:00,1633125000.0,420897000.0,1212228000.0,143349000.0,387308100.0,-300005000.0,331374000.0,87303000.0,11065000.0,76238000.0,76238000.0,0.61,0.7423,0.2372,0.0535,0.0467,0.369,1072326100.0,387308000.0,0.6092,0.6126,0.6126,76238000.0,,76238000.0,0.6566,0.4547,SBAC
2016-09-30 00:00:00,1623561000.0,424074000.0,1199487100.0,139258000.0,362002100.0,-252279000.0,336793000.0,109723000.0,7728000.0,101995000.0,101995000.0,0.82,0.7388,0.223,0.0676,0.0628,0.3479,1024314100.0,362002100.0,0.8075,0.8093,0.8093,101995000.0,,101995000.0,0.6309,0.4407,SBAC
2016-06-30 00:00:00,1622977000.0,430339000.0,1192638100.0,134875000.0,296875100.0,-327376000.0,335108000.0,-30501000.0,8080000.0,-38581000.0,-38581000.0,-0.29,0.7348,0.1829,-0.0188,-0.0238,0.3335,972614100.0,296875100.0,-0.2954,-0.2936,-0.2936,-38581000.0,,-38581000.0,0.5993,0.4327,SBAC
2016-03-31 00:00:00,1628149000.0,435884000.0,1192265100.0,115473000.0,320972100.0,-355656000.0,330196000.0,-34684000.0,8303000.0,-42987000.0,-42987000.0,-0.33,0.7323,0.1971,-0.0213,-0.0264,0.3148,993012100.0,320972100.0,-0.3377,-0.3353,-0.3353,-42987000.0,,-42987000.0,0.6099,0.4233,SBAC
2015-12-31 00:00:00,1638474000.0,444399000.0,1194075100.0,114951000.0,312456100.0,-479051000.0,323871000.0,-166595000.0,9061000.0,-175656000.0,-175656000.0,-1.37,0.7288,0.1907,-0.1017,-0.1072,0.3139,991631100.0,312456100.0,-1.3745,-1.3746,-1.3746,-175656000.0,,-175656000.0,0.6052,0.4413,SBAC
2015-09-30 00:00:00,1636266000.0,446959000.0,1189307000.0,112629000.0,326917900.0,-522163000.0,316674000.0,-195245000.0,11037000.0,-206282000.0,-206282000.0,-1.62,0.7268,0.1998,-0.1193,-0.1261,0.2943,1024506900.0,326917900.0,-1.6164,-1.6153,-1.6153,-206282000.0,,-206282000.0,0.6261,0.4423,SBAC
2015-06-30 00:00:00,1618824000.0,447102000.0,1171722000.0,111346000.0,373318900.0,-430186000.0,320754000.0,-56867000.0,10093000.0,-66960000.0,-66960000.0,-0.52,0.7238,0.2306,-0.0351,-0.0414,0.2826,1073685900.0,373318900.0,-0.5189,-0.5178,-0.5178,-66960000.0,,-66960000.0,0.6633,0.4416,SBAC
