Date,Revenue,Cost of Revenue,Gross Profit,R&D Expenses,SG&A Expenses,Operating Income,Non-operating Income/Expense,Non-operating Interest Expenses,EBT,Income Tax Provision,Income after Tax,Share of Subsidiary Earnings,Net Income Common,EPS (Basic),Gross Margin,EBIT Margin,EBT margin,Net Profit Margin,Free Cash Flow Margin,EBITDA,EBIT,"EPS (Diluted, from Cont. Ops)","EPS (Basic, Consolidated)","EPS (Basic, from Continuous Ops)",Income from Continuous Operations,Consolidated Net Income/Loss,EBITDA Margin,Operating Cash Flow Margin,Ticker
2016-06-30 00:00:00,945994000.0,229765000.0,716229000.0,65364000.0,435010000.0,215855000.0,-1557000.0,,214298000.0,47111000.0,167187000.0,,167187000.0,2.1,0.7571,0.2282,0.2265,0.1767,0.1902,235106000.0,215854900.0,2.055,2.0951,2.0951,167187000.0,167187000.0,0.2485,0.2603,ALGN
2016-03-31 00:00:00,886120000.0,216473000.0,669647000.0,62435000.0,414168000.0,193044000.0,-1508000.0,,191536000.0,43147000.0,148389000.0,,148389000.0,1.86,0.7557,0.2179,0.2162,0.1675,0.1975,211532000.0,193043900.0,1.8232,1.8585,1.8585,148389000.0,148389000.0,0.2387,0.263,ALGN
2015-12-31 00:00:00,845486000.0,205376000.0,640110000.0,61237000.0,390239000.0,188634000.0,-2533000.0,,186101000.0,42081000.0,144020000.0,,144020000.0,1.8,0.7571,0.2231,0.2201,0.1703,0.2183,206638000.0,188633900.0,1.7667,1.8002,1.8002,144020000.0,144020000.0,0.2444,0.2815,ALGN
2015-09-30 00:00:00,813810000.0,195848000.0,617962000.0,60624000.0,376550000.0,180788000.0,-4562000.0,,176226000.0,41542000.0,134684000.0,,134684000.0,1.68,0.7593,0.2222,0.2165,0.1655,0.2291,198316000.0,180788000.0,1.6498,1.6784,1.6784,134684000.0,134684000.0,0.2437,0.2829,ALGN
2015-06-30 00:00:00,796050000.0,190610000.0,605440000.0,55699000.0,355452000.0,194289000.0,-4993000.0,,189296000.0,43981000.0,145315000.0,,145315000.0,1.8,0.7606,0.2441,0.2378,0.1825,0.248,211653000.0,194289000.0,1.7755,1.8068,1.8068,145315000.0,145315000.0,0.2659,0.2987,ALGN
2015-03-31 00:00:00,779093000.0,186811000.0,592282000.0,53304000.0,338282000.0,200696000.0,-5260000.0,,195436000.0,45871000.0,149565000.0,,149565000.0,1.85,0.7602,0.2576,0.2509,0.192,0.2693,218084000.0,200696000.0,1.8226,1.8556,1.8556,149565000.0,149565000.0,0.2799,0.3139,ALGN
2014-12-31 00:00:00,761653000.0,183210000.0,578443000.0,52799000.0,332068000.0,193576000.0,-3207000.0,,190369000.0,44537000.0,145832000.0,,145832000.0,1.8,0.7595,0.2542,0.2499,0.1915,0.2663,211432000.0,193576000.0,1.7723,1.806,1.806,145832000.0,145832000.0,0.2776,0.2979,ALGN
2014-09-30 00:00:00,741345000.0,177088000.0,564257000.0,50493000.0,318759000.0,195005000.0,-1690000.0,,193315000.0,44603000.0,148712000.0,,148712000.0,1.84,0.7611,0.263,0.2608,0.2006,0.2714,212652000.0,195005000.0,1.8067,1.8329,1.8329,148712000.0,148712000.0,0.2868,0.3,ALGN
2014-06-30 00:00:00,715975000.0,171682000.0,544293000.0,48554000.0,310817000.0,184922000.0,758000.0,,185680000.0,40678000.0,145002000.0,,145002000.0,1.8,0.7602,0.2583,0.2593,0.2025,0.2654,202088000.0,184922000.0,1.7624,1.7904,1.7904,145002000.0,145002000.0,0.2823,0.2933,ALGN
2014-03-31 00:00:00,687272000.0,164764000.0,522508000.0,46181000.0,302236000.0,174091000.0,516000.0,,174607000.0,35885000.0,138722000.0,,138722000.0,1.72,0.7603,0.2533,0.2541,0.2018,0.2543,190748000.0,174091000.0,1.687,1.7149,1.7149,138722000.0,138722000.0,0.2775,0.2816,ALGN
2013-12-31 00:00:00,660206000.0,162100000.0,498106000.0,44083000.0,292798000.0,94212000.0,-1073000.0,,93139000.0,28844000.0,64295000.0,,64295000.0,0.8,0.7545,0.1427,0.1411,0.0974,0.2523,111037000.0,94212000.0,0.7785,0.7982,0.7982,64295000.0,64295000.0,0.1682,0.2817,ALGN
2013-09-30 00:00:00,624754000.0,156646000.0,468108000.0,44824000.0,285984000.0,58361000.0,-1546000.0,,56815000.0,25382000.0,31433000.0,,31433000.0,0.39,0.7493,0.0934,0.0909,0.0503,0.2363,76275000.0,58361000.0,0.3734,0.3929,0.3929,31433000.0,31433000.0,0.1221,0.2715,ALGN
2013-06-30 00:00:00,596744000.0,153376000.0,443368000.0,43861000.0,274503000.0,21400000.0,-2348000.0,,19052000.0,22500000.0,-3448000.0,,-3448000.0,0.26,0.743,0.0359,0.0319,-0.0058,0.2225,39849000.0,21400000.0,-0.0528,-0.0432,-0.0432,-3448000.0,-3448000.0,0.0668,0.2593,ALGN
2013-03-31 00:00:00,578542000.0,150065000.0,428477000.0,43625000.0,261737000.0,19511000.0,-1472000.0,,18039000.0,22315000.0,-4276000.0,,-4276000.0,0.25,0.7406,0.0337,0.0312,-0.0074,0.1822,38367000.0,19511000.0,-0.0662,-0.0527,-0.0527,-4276000.0,-4276000.0,0.0663,0.2365,ALGN
2012-12-31 00:00:00,560041000.0,143653000.0,416388000.0,42869000.0,251336000.0,85592000.0,-1296000.0,,84296000.0,25605000.0,58691000.0,,58691000.0,1.04,0.7435,0.1528,0.1505,0.1048,0.1704,103403000.0,85592000.0,0.7069,0.7288,0.7288,58691000.0,58691000.0,0.1846,0.2389,ALGN
