CEO,salary,bonus,stockAwards,optionAwards,nonEquityIncentiveCompensation,total,Revenue,Net Income Common,salary/revenue,bonus/revenue,stockAwards/revenue,optionAwards/revenue,nonEquityIncentiveCompensation/revenue,all_Equity_Awards
True,11663656,1525000,138302286,0,30116500,182626389,17949360500.0,4511897750.0,0.0006498090001590865,8.49612441624313e-05,0.00770513723873338,0.0,0.0016778592195526966,138302286
False,5292884,0,13614026,3900638,6236823,31171792,89347500000.0,4762250000.0,5.9239307199418e-05,0.0,0.0001523716500181874,4.365693500097932e-05,6.980411315369765e-05,17514664
True,7099776,0,29979757,8087111,11826986,67127006,110800500000.0,7747750000.0,6.407711156538103e-05,0.0,0.0002705742031850037,7.29880370575945e-05,0.0001067412692180992,38066868
False,7021562,4905048,9420391,9870893,8304614,45216139,382757000000.0,27698250000.0,1.834469911719446e-05,1.2815044532170542e-05,2.4611936555046676e-05,2.578892874591451e-05,2.1696831148744505e-05,19291284
True,16255482,16612595,45584182,44772324,40292539,190959714,573020750000.0,42257750000.0,2.8368051244217596e-05,2.8991262532814038e-05,7.9550665486372e-05,7.81338616446263e-05,7.031602084217718e-05,90356506
True,8076924,1330000,27590809,7875096,12853056,68450614,21819700000.0,2293875000.0,0.0003701665925746,6.095409194443553e-05,0.001264490758351398,0.00036091678620695975,0.0005890574114217886,35465905
False,4839246,150000,7830577,2570789,4882646,28821138,21819700000.0,2293875000.0,0.00022178334257574577,6.874521647868669e-06,0.00035887647401201665,0.00011781963088401765,0.00022377237083919576,10401366
False,6110337,2953125,48785021,0,12986933,74872555,178294250000.0,30805750000.0,3.4271082774682864e-05,1.656320941365187e-05,0.0002736208318552057,0.0,7.283988687240334e-05,48785021
True,9855770,0,113159572,3011110,31594819,169824573,124872250000.0,20378500000.0,7.892682321332402e-05,0.0,0.0009062027151749087,2.4113524021550024e-05,0.00025301713551249377,116170682
True,11173554,0,14225863,6576259,10575669,60786501,64377650000.0,3382000000.0,0.00017356262615985516,0.0,0.00022097518315750884,0.00010215127454947486,0.00016427547448532215,20802122
False,3977659,0,3123072,913296,2728686,18057797,42990650000.0,2358950000.0,9.252381622515594e-05,0.0,7.264537754139563e-05,2.1244061208658163e-05,6.347161533961454e-05,4036368
False,5924012,125000,23788542,7362914,4179870,41617952,69730500000.0,493500000.0,8.495582277482593e-05,1.7926158567628225e-06,0.0003411497407877471,0.00010559101110704784,5.9943209929657756e-05,31151456
True,10477548,600000,140643599,29007173,11237862,192696890,70023000000.0,1619250000.0,0.0001496300929694529,8.568613169958442e-06,0.0020085343244362567,0.0004142520743184382,0.00016048815389229254,169650772
False,4650283,699921,7492991,3609616,3864124,23069967,39289144350.0,6220514850.0,0.00011836050585815316,1.7814615502055342e-05,0.00019071402861946013,9.187311303713847e-05,9.835093290851981e-05,11102607
True,11978966,5281613,27459690,13799809,12719251,77161117,47165777200.0,7373889100.0,0.0002539758000637801,0.00011197977248639507,0.0005821952192913298,0.0002925809733079094,0.00026967118438578385,41259499
True,17146749,0,95296061,23943650,36397000,180178402,235758500000.0,63940750000.0,7.273014122502476e-05,0.0,0.0004042104993033125,0.00010156007100486302,0.0001543825567264807,119239711
False,9943791,2000000,34268449,6899878,13924000,78895066,257606000000.0,69481750000.0,3.860077405029386e-05,7.763794321560833e-06,0.0001330265948774485,2.6784616817931258e-05,5.405153606670652e-05,41168327
True,1600000,0,2148000,4297000,10108000,23998990,20434000000.0,2058000000.0,7.830087109719095e-05,0.0,0.00010511891944797886,0.00021028677694039346,0.0004946657531565039,6445000
False,650000,0,520000,1039000,2457000,6041214,10217000000.0,1029000000.0,6.361945776646765e-05,0.0,5.0895566213174125e-05,0.00010169325633747675,0.00024048155035724772,1559000
